      price  quantity  type
2  38615000    0.0400     0
3  38611000    1.2360     0
4  38605000    1.2360     0
0  38636000    0.0597     1
1  38638000    0.0631     1
2  38641000    0.0085     1
3  38642000    0.0155     1
4  38643000    0.0875     1


      price  quantity  type
0  38618000    0.0575     0
1  38616000    0.0876     0
2  38615000    0.0400     0
3  38611000    1.2360     0
4  38605000    1.2360     0
0  38636000    0.0597     1
1  38638000    0.0631     1
2  38641000    0.0085     1
3  38642000    0.0155     1
4  38643000    0.0875     1


      price  quantity  type
0  38619000    1.2193     0
1  38614000    0.0864     0
2  38611000    0.1231     0
3  38605000    1.2360     0
4  38604000    0.0865     0
0  38633000    0.0859     1
1  38635000    0.5167     1
2  38636000    0.0597     1
3  38638000    0.0631     1
4  38641000    0.0085     1


      price  quantity  type
0  38616000    1.2360     0
1  38614000    0.0864     0
2  38611000    0.1231     0
3  38605000    1.2360     0
4  38604000    0.0865     0
0  38630000    0.0839     1
1  38632000    0.0237     1
2  38633000    0.0859     1
3  38635000    0.5167     1
4  38636000    0.1166     1


      price  quantity  type
0  38616000    1.1812     0
1  38614000    0.0864     0
2  38611000    0.1231     0
3  38605000    1.2360     0
4  38604000    0.0865     0
0  38630000    0.0839     1
1  38632000    0.0237     1
2  38633000    0.0859     1
3  38636000    0.1166     1
4  38638000    0.1824     1


      price  quantity  type
0  38614000    0.0864     0
1  38611000    1.3194     0
2  38604000    1.3225     0
3  38603000    0.1375     0
4  38600000    0.5167     0
0  38630000    0.0839     1
1  38632000    0.0237     1
2  38633000    0.0859     1
3  38636000    0.1166     1
4  38638000    0.1184     1


      price  quantity  type
0  38626000    1.2360     0
1  38616000    0.0880     0
2  38614000    0.1484     0
3  38611000    1.3194     0
4  38603000    0.1375     0
0  38633000    0.0514     1
1  38658000    0.0579     1
2  38660000    0.3982     1
3  38665000    0.0878     1
4  38666000    0.0026     1


      price  quantity  type
0  38632000    0.0270     0
1  38630000    0.0889     0
2  38628000    0.1466     0
3  38626000    1.2360     0
4  38616000    0.0880     0
0  38633000    0.0073     1
1  38652000    0.0868     1
2  38653000    0.0154     1
3  38658000    0.0579     1
4  38659000    0.0847     1


      price  quantity  type
0  38628000    0.1466     0
1  38626000    1.2360     0
2  38623000    0.0270     0
3  38616000    0.0880     0
4  38614000    0.1484     0
0  38632000    0.5094     1
1  38633000    0.0073     1
2  38646000    0.0867     1
3  38649000    0.0832     1
4  38652000    0.0868     1


      price  quantity  type
0  38628000    0.0582     0
1  38626000    1.2360     0
2  38623000    0.0270     0
3  38611000    1.3035     0
4  38603000    0.1375     0
0  38632000    0.5017     1
1  38633000    0.0073     1
2  38644000    0.0870     1
3  38646000    0.0867     1
4  38647000    0.0054     1


      price  quantity  type
0  38631000    0.0270     0
1  38630000    1.2360     0
2  38628000    0.0290     0
3  38611000    1.3035     0
4  38603000    0.1946     0
0  38632000    0.1816     1
1  38650000    0.0567     1
2  38652000    0.0868     1
3  38653000    0.0154     1
4  38656000    0.0129     1


      price  quantity  type
0  38632000    0.0558     0
1  38630000    1.2360     0
2  38611000    1.3609     0
3  38603000    0.1375     0
4  38593000    1.9810     0
0  38653000    0.0150     1
1  38656000    0.0049     1
2  38658000    0.0563     1
3  38660000    0.3982     1
4  38662000    0.0149     1


      price  quantity  type
0  38634000    0.0844     0
1  38632000    0.0558     0
2  38630000    1.2360     0
3  38628000    0.0153     0
4  38624000    0.0890     0
0  38651000    0.0690     1
1  38656000    0.0709     1
2  38660000    0.2934     1
3  38662000    0.0149     1
4  38664000    0.0926     1


      price  quantity  type
0  38634000    0.0844     0
1  38632000    0.0558     0
2  38630000    1.2360     0
3  38629000    1.2360     0
4  38628000    0.0153     0
0  38655000    0.5163     1
1  38656000    0.0709     1
2  38657000    0.0091     1
3  38660000    0.2934     1
4  38662000    0.0149     1


      price  quantity  type
0  38632000    0.0558     0
1  38630000    1.3199     0
2  38629000    1.2360     0
3  38628000    0.0153     0
4  38624000    0.0890     0
0  38651000    0.0883     1
1  38653000    0.1007     1
2  38655000    0.6058     1
3  38656000    0.0709     1
4  38657000    0.0091     1


      price  quantity  type
0  38633000    0.0552     0
1  38632000    0.0894     0
2  38630000    0.8592     0
3  38629000    1.2360     0
4  38628000    0.0153     0
0  38653000    0.0126     1
1  38654000    0.0054     1
2  38656000    0.0709     1
3  38658000    0.0675     1
4  38660000    0.2934     1


      price  quantity  type
0  38619000    0.0587     0
1  38614000    1.2360     0
2  38612000    0.0830     0
3  38611000    0.0574     0
4  38606000    1.9790     0
0  38624000    0.0890     1
1  38633000    0.0119     1
2  38636000    0.0849     1
3  38640000    0.0246     1
4  38641000    0.0049     1


      price  quantity  type
0  38614000    1.0233     0
1  38612000    0.0830     0
2  38608000    0.0153     0
3  38603000    0.2052     0
4  38599000    0.0930     0
0  38624000    0.0890     1
1  38630000    0.0845     1
2  38632000    0.0092     1
3  38633000    0.0174     1
4  38635000    0.0385     1


